date,origin,destination,class,demand,avg_ticket_price,competitor_prices,revenue
1/1/2024,AUH,LHR,Economy,84,388.81,"{'Emirates': 348.69, 'Qatar Airways': 337.27, 'Turkish Airlines': 431.52}",32660.21
1/1/2024,AUH,LHR,Business,16,2031.89,"{'Emirates': 2318.33, 'Qatar Airways': 2234.54, 'Turkish Airlines': 1856.54}",32510.24
1/1/2024,AUH,LHR,First,2,5081.64,"{'Emirates': 4532.06, 'Qatar Airways': 4764.77, 'Turkish Airlines': 4877.91}",10163.29
1/1/2024,AUH,JFK,Economy,69,347.61,"{'Emirates': 349.1, 'Qatar Airways': 357.25, 'Turkish Airlines': 300.31}",23985.26
1/1/2024,AUH,JFK,Business,17,1939.97,"{'Emirates': 1705.82, 'Qatar Airways': 2047.2, 'Turkish Airlines': 1905.14}",32979.57
1/1/2024,AUH,JFK,First,2,5094.74,"{'Emirates': 4726.06, 'Qatar Airways': 5343.15, 'Turkish Airlines': 4806.96}",10189.49
1/1/2024,AUH,DEL,Economy,69,573.85,"{'Emirates': 503.0, 'Qatar Airways': 521.51, 'Turkish Airlines': 495.56}",39595.42
1/1/2024,AUH,DEL,Business,16,2017.14,"{'Emirates': 2216.07, 'Qatar Airways': 1930.45, 'Turkish Airlines': 1884.57}",32274.19
1/1/2024,AUH,DEL,First,3,4932.31,"{'Emirates': 4200.63, 'Qatar Airways': 5399.09, 'Turkish Airlines': 5238.39}",14796.92
1/1/2024,AUH,SYD,Economy,71,561.17,"{'Emirates': 537.34, 'Qatar Airways': 496.5, 'Turkish Airlines': 622.3}",39842.9
1/1/2024,AUH,SYD,Business,18,1889.37,"{'Emirates': 2019.51, 'Qatar Airways': 1967.34, 'Turkish Airlines': 2108.84}",34008.6
1/1/2024,AUH,SYD,First,6,4880.38,"{'Emirates': 4774.29, 'Qatar Airways': 4185.54, 'Turkish Airlines': 4306.29}",29282.28
1/1/2024,AUH,BKK,Economy,87,446.56,"{'Emirates': 480.79, 'Qatar Airways': 410.23, 'Turkish Airlines': 389.89}",38850.58
1/1/2024,AUH,BKK,Business,19,1850.49,"{'Emirates': 2021.55, 'Qatar Airways': 1924.55, 'Turkish Airlines': 2056.71}",35159.4
1/1/2024,AUH,BKK,First,6,5127.37,"{'Emirates': 5682.25, 'Qatar Airways': 4368.96, 'Turkish Airlines': 5143.9}",30764.24
1/1/2024,LHR,JFK,Economy,66,470.8,"{'Emirates': 447.87, 'Qatar Airways': 533.36, 'Turkish Airlines': 445.83}",31073.11
1/1/2024,LHR,JFK,Business,18,1998.14,"{'Emirates': 1878.78, 'Qatar Airways': 1869.17, 'Turkish Airlines': 1720.53}",35966.61
1/1/2024,LHR,JFK,First,3,4832.65,"{'Emirates': 4455.07, 'Qatar Airways': 4317.82, 'Turkish Airlines': 4817.36}",14497.95
1/1/2024,LHR,DEL,Economy,76,419.82,"{'Emirates': 436.48, 'Qatar Airways': 436.63, 'Turkish Airlines': 424.32}",31906.11
1/1/2024,LHR,DEL,Business,12,2138.4,"{'Emirates': 1937.3, 'Qatar Airways': 1843.8, 'Turkish Airlines': 2196.71}",25660.82
1/1/2024,LHR,DEL,First,1,4893.77,"{'Emirates': 5174.09, 'Qatar Airways': 4727.48, 'Turkish Airlines': 5534.95}",4893.77
